Date,FTSE 100
2021-07-01,1.25
2021-06-30,-0.71
2021-06-29,0.21
2021-06-28,-0.88
2021-06-25,0.37
2021-06-24,0.51
2021-06-23,-0.22
2021-06-22,0.39
2021-06-21,0.64
2021-06-18,-1.9
2021-06-17,-0.44
2021-06-16,0.17
2021-06-15,0.36
2021-06-14,0.18
2021-06-11,0.65
2021-06-10,0.1
2021-06-09,-0.2
2021-06-08,0.25
2021-06-07,0.12
2021-06-04,0.07
2021-06-03,-0.61
2021-06-02,0.39
2021-06-01,0.82
2021-05-28,0.04
2021-05-27,-0.1
2021-05-26,-0.04
2021-05-25,-0.31
2021-05-24,0.48
2021-05-21,-0.02
2021-05-20,1.0
2021-05-19,-1.19
2021-05-18,0.02
2021-05-17,-0.15
2021-05-14,1.15
2021-05-13,-0.59
2021-05-12,0.82
2021-05-11,-2.47
2021-05-10,-0.08
2021-05-07,0.76
2021-05-06,0.52
2021-05-05,1.68
2021-05-04,-0.67
2021-04-30,0.12
2021-04-29,-0.03
2021-04-28,0.27
2021-04-27,-0.26
2021-04-26,0.35
2021-04-23,0.0
2021-04-22,0.62
2021-04-21,0.52
2021-04-20,-2.0
2021-04-19,-0.28
2021-04-16,0.52
2021-04-15,0.63
2021-04-14,0.71
2021-04-13,0.02
2021-04-12,-0.39
2021-04-09,-0.38
2021-04-08,0.83
2021-04-07,0.91
2021-04-06,1.28
2021-04-01,0.35
2021-03-31,-0.86
2021-03-30,0.53
2021-03-29,-0.07
2021-03-26,0.99
2021-03-25,-0.57
2021-03-24,0.2
2021-03-23,-0.4
2021-03-22,0.26
2021-03-19,-1.05
2021-03-18,0.25
2021-03-17,-0.6
2021-03-16,0.8
2021-03-15,-0.17
2021-03-12,0.36
2021-03-11,0.17
2021-03-10,-0.07
2021-03-09,0.17
2021-03-08,1.34
2021-03-05,-0.31
2021-03-04,-0.37
2021-03-03,0.93
2021-03-02,0.38
2021-03-01,1.62
2021-02-26,-2.53
2021-02-25,-0.11
2021-02-24,0.5
2021-02-23,0.21
2021-02-22,-0.18
2021-02-19,0.1
2021-02-18,-1.4
2021-02-17,-0.56
2021-02-16,-0.11
2021-02-15,2.52
2021-02-12,0.94
2021-02-11,0.07
2021-02-10,-0.11
2021-02-09,0.12
2021-02-08,0.53
2021-02-05,-0.22
2021-02-04,-0.06
2021-02-03,-0.14
2021-02-02,0.78
2021-02-01,0.92
2021-01-29,-1.82
2021-01-28,-0.63
2021-01-27,-1.3
2021-01-26,0.23
2021-01-25,-0.84
2021-01-22,-0.3
2021-01-21,-0.37
2021-01-20,0.41
2021-01-19,-0.11
2021-01-18,-0.22
2021-01-15,-0.97
2021-01-14,0.84
2021-01-13,-0.13
2021-01-12,-0.65
2021-01-11,-1.09
2021-01-08,0.24
2021-01-07,0.22
2021-01-06,3.47
2021-01-05,0.61
2021-01-04,1.72
2020-12-31,-1.45
2020-12-30,-0.71
2020-12-29,1.55
2020-12-24,0.1
2020-12-23,0.66
2020-12-22,0.57
2020-12-21,-1.73
2020-12-18,-0.33
2020-12-17,-0.3
2020-12-16,0.88
2020-12-15,-0.28
2020-12-14,-0.23
2020-12-11,-0.8
2020-12-10,0.54
2020-12-09,0.08
2020-12-08,0.05
2020-12-07,0.08
2020-12-04,0.92
2020-12-03,0.42
2020-12-02,1.23
2020-12-01,1.89
2020-11-30,-1.59
2020-11-27,0.07
2020-11-26,-0.44
2020-11-25,-0.64
2020-11-24,1.55
2020-11-23,-0.28
2020-11-20,0.27
